Subj_idx,Stimulus,Response,Confidence,RT_decConf,Coherence,Condition,Accuracy,Block,Date
1,1,1,0.073892,0.874745,0.064,1,1,5,20150428
1,1,1,1,0.608198,0.512,1,1,5,20150428
1,0,0,1,0.621307,0.064,1,1,5,20150428
1,1,0,0.035863,1.114898,0,1,0,5,20150428
1,1,0,0.180942,0.581593,0.032,0,0,5,20150428
1,1,1,1,0.448149,0.512,1,1,5,20150428
1,1,1,0.374886,1.08781,0.032,1,1,5,20150428
1,1,1,0.097659,0.741526,0.128,1,1,5,20150428
1,0,0,0.009814,0.794951,0.032,0,1,5,20150428
1,0,0,1,0.594985,0,1,1,5,20150428
1,1,1,1,0.741495,0.256,1,1,5,20150428
1,1,0,1,0.594825,0,0,0,5,20150428
1,0,0,0.0178,0.901601,0.032,1,1,5,20150428
1,1,1,1,0.448088,0.512,0,1,5,20150428
1,1,1,1,0.381492,0.512,1,1,5,20150428
1,0,0,0.078265,0.648286,0.032,1,1,5,20150428
1,0,0,0.065335,0.554839,0.064,0,1,5,20150428
1,1,1,1,0.51491,0.128,0,1,5,20150428
1,0,0,0.048603,0.608208,0.128,1,1,5,20150428
1,0,0,0.263273,0.728332,0.032,0,1,5,20150428
1,0,1,0.086631,0.648147,0.128,1,0,5,20150428
1,1,1,1,0.354987,0.256,0,1,5,20150428
1,1,1,1,0.501489,0.064,1,1,5,20150428
1,1,0,0.16535,0.514775,0.064,0,0,5,20150428
1,0,0,0.304534,0.60809,0,1,1,5,20150428
1,1,1,0.987715,0.394817,0.128,0,1,5,20150428
1,0,0,1,0.421532,0.256,1,1,5,20150428
1,0,0,0.383443,0.474936,0.256,1,1,5,20150428
1,1,0,0.189688,0.754718,0,1,0,5,20150428
1,1,0,1,0.501768,0.128,1,0,5,20150428
1,1,1,1,0.422084,0.128,0,1,5,20150428
1,0,0,0.166871,0.59479,0.064,0,1,5,20150428
1,1,0,0.05887,0.594872,0,1,0,5,20150428
1,0,0,1,0.515249,0.512,0,1,5,20150428
1,1,1,1,0.394793,0.128,1,1,5,20150428
1,1,0,0.05792,0.794918,0.064,0,0,5,20150428
1,1,1,1,0.488123,0.512,1,1,5,20150428
1,0,0,1,0.474734,0.512,1,1,5,20150428
1,1,1,1,0.421766,0.512,0,1,5,20150428
1,1,1,1,0.488196,0.512,0,1,5,20150428
1,1,1,1,0.621474,0.256,1,1,5,20150428
1,1,0,0.193111,0.594909,0.032,1,0,5,20150428
1,1,0,0.198815,0.928116,0,0,0,5,20150428
1,0,1,0.0178,1.008166,0.256,0,0,5,20150428
1,1,0,0.114011,0.648111,0.032,0,0,5,20150428
1,1,1,0.390288,0.714896,0.064,0,1,5,20150428
1,1,0,0.060582,0.754806,0.032,1,0,5,20150428
1,0,0,1,0.78157,0,1,1,5,20150428
1,0,0,1,0.528172,0.512,0,1,5,20150428
1,0,0,1,0.474798,0.064,1,1,5,20150428
1,1,1,0.137399,0.621498,0.064,1,1,5,20150428
1,0,1,0.033771,0.62165,0,0,0,5,20150428
1,0,0,1,0.421589,0.256,0,1,5,20150428
1,1,0,0.132455,0.541548,0.032,0,0,5,20150428
1,0,1,0.256618,0.528153,0.128,0,0,5,20150428
1,0,0,1,0.461606,0.256,1,1,5,20150428
1,1,1,1,0.408144,0.064,1,1,5,20150428
1,0,1,0.164019,0.501485,0.128,1,0,5,20150428
1,1,0,0.168963,0.581484,0.032,0,0,5,20150428
1,0,1,0.236083,0.675108,0.128,0,0,5,20150428
1,1,1,0.973454,0.714861,0.128,1,1,5,20150428
1,0,0,1,0.461629,0.512,0,1,5,20150428
1,1,1,0.233421,0.581445,0.256,0,1,5,20150428
1,0,0,1,0.461501,0.512,0,1,5,20150428
1,1,1,0.592219,0.594938,0.256,1,1,5,20150428
1,0,0,0.146716,0.728347,0.032,1,1,5,20150428
1,1,1,0.363668,0.541632,0,0,1,5,20150428
1,1,1,1,0.461643,0.256,0,1,5,20150428
1,0,1,0.229808,0.688167,0.128,1,0,5,20150428
1,0,0,1,0.861522,0.256,1,1,5,20150428
1,1,1,1,0.880146,0.512,1,1,6,20150428
1,0,0,0.999694,0.821339,0.512,0,1,6,20150428
1,1,1,0.985243,0.6747,0.128,1,1,6,20150428
1,0,1,0.039286,1.141321,0.032,0,0,6,20150428
1,1,0,0,0.674723,0.256,1,0,6,20150428
